"tripdate","time","temperature","wind_speed","wind_degree","wind_dir","weather_code","weather_descriptions","precip","humidity","visibility","pressure","cloudcover","heatindex","dewpoint","windchill","windgust","feelslike","uv_index","totalsnow","avgtemp"
"2015-01-29","900","1","40","335","NNW","230","Blizzard","0","83","0","1010","100","1","-2","-7","58","-7","1","0","1"
"2015-01-30","900","-5","21","342","NNW","113","Sunny","0","69","10","1034","10","-5","-10","-11","28","-11","2","0","-4"
"2015-01-31","900","-2","24","229","SW","113","Sunny","0","66","10","1025","5","-2","-8","-9","38","-9","2","0.9","-1"
"2015-02-01","900","-1","39","72","ENE","230","Blizzard","2.3","96","0","1014","100","-1","-2","-9","55","-9","1","2.8","-3"
"2015-02-02","900","-11","32","327","NNW","230","Blizzard","0","93","0","1024","52","-11","-12","-21","46","-21","1","0","-11"
"2015-02-03","900","-9","15","220","SW","116","Partly cloudy","0","82","10","1024","49","-9","-11","-15","24","-15","2","0.3","-7"
"2015-02-04","900","-6","22","338","NNW","326","Light snow","0","87","10","1020","100","-6","-8","-13","30","-13","1","1.1","-7"
"2015-02-05","900","-14","14","296","WNW","113","Sunny","0","85","10","1035","7","-14","-16","-22","23","-22","2","0","-13"
"2015-02-06","900","-7","19","227","SW","116","Partly cloudy","0","77","10","1024","60","-7","-11","-14","28","-14","2","0","-6"
"2015-02-07","900","-1","15","203","SSW","116","Partly cloudy","0","93","10","1012","44","-1","-2","-5","30","-5","2","0","1"
"2015-02-08","900","2","14","15","NNE","119","Cloudy","0","97","10","1006","85","2","1","-2","26","-2","1","0.1","1"
"2015-02-09","900","-3","24","10","N","332","Moderate snow","0","86","5","1023","97","-3","-5","-10","34","-10","1","0.7","-3"
"2015-02-10","900","-4","13","89","E","116","Partly cloudy","0","84","10","1027","57","-4","-6","-9","19","-9","2","0.2","-4"
"2015-02-11","900","0","27","276","W","326","Light snow","0","91","10","1016","78","0","-1","-6","39","-6","1","0","-1"
"2015-02-12","900","-12","41","336","NNW","230","Blizzard","0","86","0","1031","74","-12","-14","-23","54","-23","1","0","-11"
"2015-02-13","900","-12","26","223","SW","113","Sunny","0","87","10","1027","4","-12","-13","-21","35","-21","2","0.2","-9"
"2015-02-14","900","-11","55","327","NNW","230","Blizzard","0.1","78","0","1015","100","-11","-14","-23","73","-23","1","0","-11"
"2015-02-15","900","-14","15","67","ENE","338","Heavy snow","0.2","90","2","1038","92","-14","-15","-21","21","-21","1","1.5","-13"
"2015-02-16","900","-12","10","138","SE","113","Sunny","0","76","10","1026","7","-12","-16","-18","13","-18","2","0","-11"
"2015-02-17","900","-7","23","298","WNW","338","Heavy snow","0.1","86","2","1016","96","-7","-9","-15","29","-15","1","0.9","-9"
"2015-02-18","900","-14","33","310","NW","227","Blowing snow","0","86","2","1016","91","-14","-16","-26","42","-26","1","0.2","-15"
"2015-02-19","900","-20","32","314","NW","113","Sunny","0","86","10","1030","6","-20","-22","-33","42","-33","2","0","-19"
"2015-02-20","900","-16","26","183","S","119","Cloudy","0","80","10","1027","77","-16","-18","-26","37","-26","1","0","-13"
"2015-02-21","900","-6","4","202","SSW","326","Light snow","0","93","10","1015","100","-6","-7","-8","6","-8","1","0.3","-5"
"2015-02-22","900","-8","26","318","NW","326","Light snow","0","87","10","1030","100","-8","-9","-16","34","-16","1","0.3","-10"
"2015-02-23","900","-17","21","312","NW","113","Sunny","0","90","10","1042","4","-17","-18","-27","27","-27","2","0","-16"
"2015-02-24","900","-11","45","226","SW","116","Partly cloudy","0","77","10","1014","45","-11","-14","-23","59","-23","2","0","-8"
"2015-02-25","900","-7","7","10","N","116","Partly cloudy","0","69","10","1017","26","-7","-12","-11","10","-11","2","2","-7"
"2015-02-26","900","-9","27","27","NNE","338","Heavy snow","0.1","80","2","1025","100","-9","-12","-17","36","-17","1","3.6","-9"
"2015-02-27","900","-14","17","293","WNW","113","Sunny","0","85","10","1038","0","-14","-16","-22","24","-22","2","0","-13"
"2015-02-28","900","-12","9","166","SSE","113","Sunny","0","79","10","1042","0","-12","-15","-17","10","-17","2","0.3","-11"
"2015-03-01","900","-7","5","164","SSE","326","Light snow","0","91","10","1030","100","-7","-8","-9","7","-9","1","0.9","-6"
"2015-03-02","900","-7","12","306","NW","113","Sunny","0","86","10","1035","6","-7","-9","-12","18","-12","2","0","-6"
